Country,Region,Year,Ski Areas,Lifts,National Skiers,Rate of Ski Areas change,Rate of Lifts change,Rate of  National Skiers change
Austria,Alps,2015,254,3028,2959793,,,
France,Alps,2015,325,3463,8573709,,,
Italy,Alps,2015,349,2127,4918584,,,
Liechtenstein,Alps,2015,1,5,13693,,,
Slovenia,Alps,2015,44,217,298904,,,
Switzerland,Alps,2015,194,1749,2958530,,,
Andorra,Western Europe,2015,3,140,17059,,,
Belgium,Western Europe,2015,,,,,,
Denmark,Western Europe,2015,,,,,,
Finland,Western Europe,2015,76,374,1263867,,,
Germany,Western Europe,2015,498,1827,14606508,,,
Iceland,Western Europe,2015,13,49,63056,,,
Norway,Western Europe,2015,213,655,1180675,,,
Portugal,Western Europe,2015,,,,,,
Spain,Western Europe,2015,32,384,2368527,,,
Sweden,Western Europe,2015,228,820,1823885,,,
United Kingdom,Western Europe,2015,10,124,6339557,,,
Albania,Eastern Europe and Central Asia,2015,,,,,,
Armenia,Eastern Europe and Central Asia,2015,3,8,59484,,,
Azerbaijan,Eastern Europe and Central Asia,2015,2,11,,,,
Belarus,Eastern Europe and Central Asia,2015,6,11,192518,,,
Bosnia and Herzegovina,Eastern Europe and Central Asia,2015,18,50,193786,,,
Bulgaria,Eastern Europe and Central Asia,2015,32,110,349082,,,
Croatia,Eastern Europe and Central Asia,2015,13,25,89512,,,
Czech Republic,Eastern Europe and Central Asia,2015,176,816,2032584,,,
Estonia,Eastern Europe and Central Asia,2015,9,17,63319,,,
Georgia,Eastern Europe and Central Asia,2015,5,14,91118,,,
Greece,Eastern Europe and Central Asia,2015,22,111,215459,,,
Hungary,Eastern Europe and Central Asia,2015,15,55,496974,,,
Kazakhstan,Eastern Europe and Central Asia,2015,19,25,266053,,,
Kosovo,Eastern Europe and Central Asia,2015,,,,,,
Kyrgyzstan,Eastern Europe and Central Asia,2015,16,24,55480,,,
Latvia,Eastern Europe and Central Asia,2015,26,77,217844,,,
Lithuania,Eastern Europe and Central Asia,2015,11,19,175793,,,
Macedonia,Eastern Europe and Central Asia,2015,8,34,156538,,,
Montenegro,Eastern Europe and Central Asia,2015,4,23,65347,,,
Poland,Eastern Europe and Central Asia,2015,182,832,4989895,,,
Romania,Eastern Europe and Central Asia,2015,45,141,653714,,,
Russia,Eastern Europe and Central Asia,2015,321,600,3562512,,,
Serbia,Eastern Europe and Central Asia,2015,31,77,217290,,,
Slovakia,Eastern Europe and Central Asia,2015,107,456,987901,,,
Ukraine,Eastern Europe and Central Asia,2015,54,141,1114330,,,
Uzbekistan,Eastern Europe and Central Asia,2015,2,6,,,,
Argentina,Americas,2015,22,145,1065275,,,
Canada,Americas,2015,288,922,4307199,,,
Chile,Americas,2015,21,122,516508,,,
United States,Americas,2015,470,2970,25016817,,,
Australia,Asian-Pacific,2015,10,158,779188,,,
China,Asian-Pacific,2015,350,869,5128426,,,
India,Asian-Pacific,2015,,,,,,
Japan,Asian-Pacific,2015,547,2422,11452777,,,
Nepal,Asian-Pacific,2015,,,,,,
New Zealand,Asian-Pacific,2015,25,100,305558,,,
South Korea,Asian-Pacific,2015,18,150,2937312,,,
Iran,Middle East & Africa,2015,19,51,798539,,,
Lebanon,Middle East & Africa,2015,6,46,206579,,,
Morocco,Middle East & Africa,2015,5,10,32649,,,
Turkey,Middle East & Africa,2015,43,145,806945,,,
Austria,Alps,2016,254,3028,2959793,0.00%,0.00%,0.00%
France,Alps,2016,325,3346,8573709,0.00%,-3.38%,0.00%
Italy,Alps,2016,349,2127,4918584,0.00%,0.00%,0.00%
Liechtenstein,Alps,2016,1,5,13693,0.00%,0.00%,0.00%
Slovenia,Alps,2016,44,217,298904,0.00%,0.00%,0.00%
Switzerland,Alps,2016,194,1691,2958530,0.00%,-3.32%,0.00%
Andorra,Western Europe,2016,3,140,17059,0.00%,0.00%,0.00%
Belgium,Western Europe,2016,7,11,1253312,,,
Denmark,Western Europe,2016,5,6,666774,,,
Finland,Western Europe,2016,76,374,1263867,0.00%,0.00%,0.00%
Germany,Western Europe,2016,498,1827,14606508,0.00%,0.00%,0.00%
Iceland,Western Europe,2016,13,49,63056,0.00%,0.00%,0.00%
Norway,Western Europe,2016,213,655,1180675,0.00%,0.00%,0.00%
Portugal,Western Europe,2016,1,29,215985,,,
Spain,Western Europe,2016,32,384,2368527,0.00%,0.00%,0.00%
Sweden,Western Europe,2016,228,820,1824000,0.00%,0.00%,0.01%
United Kingdom,Western Europe,2016,10,124,6339557,0.00%,0.00%,0.00%
Albania,Eastern Europe and Central Asia,2016,10,1,30114,,,
Armenia,Eastern Europe and Central Asia,2016,3,8,59484,0.00%,0.00%,0.00%
Azerbaijan,Eastern Europe and Central Asia,2016,2,11,47951,0.00%,0.00%,
Belarus,Eastern Europe and Central Asia,2016,6,11,192518,0.00%,0.00%,0.00%
Bosnia and Herzegovina,Eastern Europe and Central Asia,2016,18,50,193786,0.00%,0.00%,0.00%
Bulgaria,Eastern Europe and Central Asia,2016,32,110,349082,0.00%,0.00%,0.00%
Croatia,Eastern Europe and Central Asia,2016,13,25,89512,0.00%,0.00%,0.00%
Czech Republic,Eastern Europe and Central Asia,2016,176,816,2235843,0.00%,0.00%,10.00%
