Region,Year,Ski Resorts,Lifts,Skiers,Rate of Ski Areas change,Rate of Ski Areas change,Rate of Ski Areas change
Alps,2015,1167,10589,19723213,,,
Western Europe,2015,1073,4373,27663134,,,
Eastern Europe and Central Asia,2015,1127,3683,16246533,,,
Americas,2015,801,4159,30905799,,,
Asian-Pacific,2015,950,3699,20603261,,,
Middle East & Africa,2015,73,252,1844712,,,
Alps,2016,1167,10414,19723213,0.00%,-1.65%,0.00%
Western Europe,2016,1086,4419,29799320,1.21%,1.05%,7.72%
Eastern Europe and Central Asia,2016,1143,3707,16690190,1.42%,0.65%,2.73%
Americas,2016,801,4159,30905799,0.00%,0.00%,0.00%
Asian-Pacific,2016,1183,3417,22567727,24.53%,-7.62%,9.53%
Middle East & Africa,2016,73,260,1844712,0.00%,3.17%,0.00%
Alps,2017,1166,10414,19698000,-0.09%,0.00%,-0.13%
Western Europe,2017,1086,4419,29801000,0.00%,0.00%,0.01%
Eastern Europe and Central Asia,2017,1176,3718,17449000,2.89%,0.30%,4.55%
Americas,2017,794,4159,30906000,-0.87%,0.00%,0.00%
Asian-Pacific,2017,1261,3452,27150000,6.59%,1.02%,20.30%
Middle East & Africa,2017,73,260,1846000,0.00%,0.00%,0.07%
Alps,2018,1166,10169,19698000,0.00%,-2.35%,0.00%
Western Europe,2018,1086,4439,29801000,0.00%,0.45%,0.00%
Eastern Europe and Central Asia,2018,1194,3677,17449000,1.53%,-1.10%,0.00%
Americas,2018,804,4164,30906000,1.26%,0.12%,0.00%
Asian-Pacific,2018,1318,3489,27920000,4.52%,1.07%,2.84%
Middle East & Africa,2018,93,287,1846000,27.40%,10.38%,0.00%
Alps,2019,1159,10169,19623000,-0.60%,0.00%,-0.38%
Western Europe,2019,1086,4166,29749000,0.00%,-6.15%,-0.17%
Eastern Europe and Central Asia,2019,1194,3677,17385000,0.00%,0.00%,-0.37%
Americas,2019,804,4164,30906000,0.00%,0.00%,0.00%
Asian-Pacific,2019,1358,3503,28990000,3.03%,0.40%,3.83%
Middle East & Africa,2019,93,287,1859000,0.00%,0.00%,0.70%
Alps,2020,1150,9842,22072000,-0.78%,-3.22%,12.48%
Western Europe,2020,1086,4166,29749000,0.00%,0.00%,0.00%
Eastern Europe and Central Asia,2020,1197,3680,17385000,0.25%,0.08%,0.00%
Americas,2020,804,4164,30906000,0.00%,0.00%,0.00%
Asian-Pacific,2020,1386,3515,28843000,2.06%,0.34%,-0.51%
Middle East & Africa,2020,93,287,1859000,0.00%,0.00%,0.00%
